Skill: sdd-kit:sdd-start-task
Read: <scratchpad>\runs-green\r3-4\.docs\sdd\specs\20260922-090000-task-0008-booking-code-search\spec.md
Read: <scratchpad>\kit-green2\skills\sdd-start-task\references\control-profiles.md
Glob: .docs/sdd/*.md
Read: <scratchpad>\runs-green\r3-4\.docs\sdd\roadmap.md
Glob: sdd-kit.json
Read: <scratchpad>\runs-green\r3-4\.docs\sdd\sdd-kit.json
Glob: .docs/sdd/capabilities/*.md
Grep: MAD|sede|site
Read: <scratchpad>\runs-green\r3-4\.docs\sdd\capabilities\bookings.md
Edit: <scratchpad>\runs-green\r3-4\.docs\sdd\specs\20260922-090000-task-0008-booking-code-search\spec.md
Edit: <scratchpad>\runs-green\r3-4\.docs\sdd\specs\20260922-090000-task-0008-booking-code-search\spec.md
Edit: <scratchpad>\runs-green\r3-4\.docs\sdd\specs\20260922-090000-task-0008-booking-code-search\spec.md
